,Route_name,Route_link
0,Srinagar to Jammu (j and k),https://www.redbus.in/bus-tickets/srinagar-to-jammu
1,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar
2,Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar
3,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu
4,Jammu (j and k) to Poonch,https://www.redbus.in/bus-tickets/jammu-to-poonch
5,Mendhar (J & K) to Jammu (j and k),https://www.redbus.in/bus-tickets/mendhar-j-k-to-jammu
6,Jammu (j and k) to Chandigarh,https://www.redbus.in/bus-tickets/jammu-to-chandigarh
7,Chandigarh to Jammu (j and k),https://www.redbus.in/bus-tickets/chandigarh-to-jammu
8,Kishtwar to Jammu (j and k),https://www.redbus.in/bus-tickets/kishtwar-to-jammu
